2 40,50327 0 0 0 0 360 360 360 360 255 0
2 40,53546 0 0 0 0 360 360 360 360 255 0
2 40,62532 0 0 0 0 360 360 360 360 255 0
2 40,73986 0 0 0 0 360 360 360 360 255 0
2 40,8627 0 0 0 0 360 360 360 360 255 0
2 40,99334 0 0 0 0 360 360 360 360 255 0
2 41,11992 0 0 0 0 360 360 360 360 255 0
2 41,20374 0 0 0 0 360 360 360 360 255 0
2 41,26399 0 0 0 0 360 360 360 360 255 0
2 41,35158 0 0 0 0 360 360 360 360 255 0
2 41,4342 0 0 0 0 360 360 360 360 255 0
2 41,52396 0 0 0 0 360 360 360 360 255 0
2 41,61102 0 0 0 0 360 360 360 360 255 0
2 41,67629 0 0 0 0 360 360 360 360 255 0
2 41,74907 0 0 0 0 360 360 360 360 255 0
2 41,8329 0 0 0 0 360 360 360 360 255 0
2 41,9014 0 0 0 0 360 360 360 360 255 0
2 41,97445 0 0 0 0 360 360 360 360 255 0
2 42,05242 0 0 0 0 360 360 360 360 255 0
2 42,11628 0 0 0 0 360 360 360 360 255 0
2 42,19022 0 0 0 0 360 360 360 360 255 0
2 42,27615 0 0 0 0 360 360 360 360 255 0
2 42,34833 0 0 0 0 360 360 360 360 255 0
2 42,42793 0 0 0 0 360 360 360 360 255 0
2 42,51323 0 0 0 0 360 360 360 360 255 0
2 42,58155 0 0 0 0 360 360 360 360 255 0
2 42,65665 0 0 0 0 360 360 360 360 255 0
2 42,73836 0 0 0 0 360 360 360 360 255 0
2 42,8047 0 0 0 0 360 360 360 360 255 0
2 42,87816 0 0 0 0 360 360 360 360 255 0
2 42,95879 0 0 0 0 360 360 360 360 255 0
2 43,02139 0 0 0 0 360 360 360 360 255 0
2 43,0907 0 0 0 0 360 360 360 360 255 0
2 43,16861 0 0 0 0 360 360 360 360 255 0
2 43,23512 0 0 0 0 360 360 360 360 255 0
2 43,31286 0 0 0 0 360 360 360 360 255 0
2 43,40155 0 0 0 0 360 360 360 360 255 0
2 43,47393 0 0 0 0 360 360 360 360 255 0
2 43,55214 0 0 0 0 360 360 360 360 255 0
2 43,63536 0 0 0 0 360 360 360 360 255 0
2 43,70219 0 0 0 0 360 360 360 360 255 0
2 43,77601 0 0 0 0 360 360 360 360 255 0
2 43,85726 0 0 0 0 360 360 360 360 255 0
2 43,92336 0 0 0 0 360 360 360 360 255 0
2 43,99619 0 0 0 0 360 360 360 360 255 0
2 44,07782 0 0 0 0 360 360 360 360 255 0
2 44,14528 0 0 0 0 360 360 360 360 255 0
2 44,21992 0 0 0 0 360 360 360 360 255 0
2 44,30087 0 0 0 0 360 360 360 360 255 0
2 44,36513 0 0 0 0 360 360 360 360 255 0
2 44,43468 0 0 0 0 360 360 360 360 255 0
2 44,51031 0 0 0 0 360 360 360 360 255 0
2 44,5726 0 0 0 0 360 360 360 360 255 0
2 44,64264 0 0 0 0 360 360 360 360 255 0
2 44,72059 0 0 0 0 360 360 360 360 255 0
2 44,78481 0 0 0 0 360 360 360 360 255 0
2 44,85606 0 0 0 0 360 360 360 360 255 0
2 44,935 0 0 0 0 360 360 360 360 255 0
2 44,99985 0 0 0 0 360 360 360 360 255 0
2 45,07039 0 0 0 0 360 360 360 360 255 0
2 45,14663 0 0 0 0 360 360 360 360 255 0
2 45,20909 0 0 0 0 360 360 360 360 255 0
2 45,27934 0 0 0 0 360 360 360 360 255 0
2 45,3587 0 0 0 0 360 360 360 360 255 0
2 45,42432 0 0 0 0 360 360 360 360 255 0
2 45,4969 0 0 0 0 360 360 360 360 255 0
2 45,57604 0 0 0 0 360 360 360 360 255 0
2 45,64407 0 0 0 0 360 360 360 360 255 0
2 45,71919 0 0 0 0 360 360 360 360 255 0
2 45,79831 0 0 0 0 360 360 360 360 255 0
2 45,86094 0 0 0 0 360 360 360 360 255 0
2 45,9286 0 0 0 0 360 360 360 360 255 0
2 46,00095 0 0 0 0 360 360 360 360 255 0
2 46,06091 0 0 0 0 360 360 360 360 255 0
2 46,1282 0 0 0 0 360 360 360 360 255 0
2 46,20104 0 0 0 0 360 360 360 360 255 0
2 46,26006 0 0 0 0 360 360 360 360 255 0
2 46,32491 0 0 0 0 360 360 360 360 255 0
2 46,39433 0 0 0 0 360 360 360 360 255 0
2 46,45205 0 0 0 0 360 360 360 360 255 0
2 46,5152 0 0 0 0 360 360 360 360 255 0
2 46,58521 0 0 0 0 360 360 360 360 255 0
2 46,64158 0 0 0 0 360 360 360 360 255 0
2 46,70238 0 0 0 0 360 360 360 360 255 0
2 46,76981 0 0 0 0 360 360 360 360 255 0
2 46,82415 0 0 0 0 360 360 360 360 255 0
2 46,88411 0 0 0 0 360 360 360 360 255 0
2 46,94817 0 0 0 0 360 360 360 360 255 0
2 46,99865 0 0 0 0 360 360 360 360 255 0
2 47,05713 0 0 0 0 360 360 360 360 255 0
2 47,12071 0 0 0 0 360 360 360 360 255 0
2 47,1725 0 0 0 0 360 360 360 360 255 0
2 47,22632 0 0 0 0 360 360 360 360 255 0
2 47,28327 0 0 0 0 360 360 360 360 255 0
2 47,3339 0 0 0 0 360 360 360 360 255 0
2 47,39017 0 0 0 0 360 360 360 360 255 0
2 47,45308 0 0 0 0 360 360 360 360 255 0
2 47,50232 0 0 0 0 360 360 360 360 255 0
2 47,55259 0 0 0 0 360 360 360 360 255 0
2 47,60821 0 0 0 0 360 360 360 360 255 0
2 47,65428 0 0 0 0 360 360 360 360 255 0
2 47,70805 0 0 0 0 360 360 360 360 255 0
2 47,7672 0 0 0 0 360 360 360 360 255 0
2 47,81335 0 0 0 0 360 360 360 360 255 0
2 47,8642 0 0 0 0 360 360 360 360 255 0
2 47,92042 0 0 0 0 360 360 360 360 255 0
2 47,96724 0 0 0 0 360 360 360 360 255 0
2 48,01915 0 0 0 0 360 360 360 360 255 0
2 48,07483 0 0 0 0 360 360 360 360 255 0
2 48,12877 0 0 0 0 360 360 360 360 255 0
2 48,1765 0 0 0 0 360 360 360 360 255 0
2 48,23429 0 0 0 0 360 360 360 360 255 0
2 48,2798 0 0 0 0 360 360 360 360 255 0
2 48,32773 0 0 0 0 360 360 360 360 255 0
2 48,37809 0 0 0 0 360 360 360 360 255 0
2 48,41859 0 0 0 0 360 360 360 360 255 0
2 48,46458 0 0 0 0 360 360 360 360 255 0
2 48,51999 0 0 0 0 360 360 360 360 255 0
2 48,56598 0 0 0 0 360 360 360 360 255 0
2 48,61641 0 0 0 0 360 360 360 360 255 0
2 48,66973 0 0 0 0 360 360 360 360 255 0
2 48,71086 0 0 0 0 360 360 360 360 255 0
2 48,75576 0 0 0 0 360 360 360 360 255 0
2 48,80618 0 0 0 0 360 360 360 360 255 0
2 48,84839 0 0 0 0 360 360 360 360 255 0
2 48,8957 0 0 0 0 360 360 360 360 255 0
2 48,94607 0 0 0 0 360 360 360 360 255 0
