2 14,6911 0 0 0 0 348 347 367 365 138 0 -1 2,131887 0,2919032 -13,35977
2 14,88856 0 0 0 0 348 347 366 366 142 0 0 2,041677 -0,1298704 -13,23094
2 15,10467 0 0 0 0 347 347 365 366 146 0 0 0,9710066 0,5143613 -12,98377
2 15,34499 0 0 0 0 347 348 365 367 151 0 1 0,3466487 0,7034613 -13,1433
2 15,54656 0 0 0 0 347 347 365 368 155 0 2 0,149558 0,6901739 -13,47836
2 15,78007 0 0 0 0 347 347 367 368 159 0 3 0,5406262 -0,8052287 -14,17284
2 16,04053 0 0 0 0 347 347 369 368 164 0 5 -0,3079817 0,6097303 -14,21796
2 16,2514 0 0 0 0 347 347 368 367 168 0 6 -0,6731856 1,185121 -13,75957
2 16,48045 0 0 0 0 347 347 368 368 166 0 8 0,08361825 -1,624605 -13,73859
2 16,7151 0 0 0 0 347 347 366 369 158 0 9 -1,055178 -0,8087956 -12,65959
2 16,90017 0 0 0 0 347 347 367 369 150 0 11 -1,751495 -0,4816128 -12,42153
2 17,09874 0 0 0 0 347 347 368 370 142 0 12 -2,084221 -0,4417014 -11,59875
2 17,3077 0 0 0 0 347 348 369 369 133 0 14 -2,505188 -0,1541326 -11,44232
2 17,48446 0 0 0 0 347 348 371 368 125 0 15 -2,911914 0,02392082 -11,63361
2 17,70385 0 0 0 0 347 348 370 369 116 0 16 -3,922326 1,297529 -13,35547
2 17,96438 0 0 0 0 347 348 369 371 107 0 17 -4,51629 1,930061 -14,40835
2 18,15858 0 0 0 0 348 348 370 371 103 0 18 -4,044008 -1,092548 -12,29117
2 18,36059 0 0 0 0 348 348 370 371 94 0 18 -3,9892 0,08626834 -12,4928
2 18,58846 0 0 0 0 348 348 371 370 98 0 19 -4,722003 0,4282008 -12,72819
2 18,7619 0 0 0 0 347 347 371 369 102 0 19 -4,420734 -0,2134405 -11,61726
2 18,92586 0 0 0 0 347 348 371 370 100 0 18 -4,236838 -1,321144 -9,654706
2 19,11279 0 0 0 0 347 348 370 371 104 0 18 -5,008274 -0,3696095 -10,36439
2 19,26404 0 0 0 0 348 348 369 371 108 0 17 -4,828886 -0,501629 -10,2597
2 19,44977 0 0 0 0 348 348 369 371 104 0 16 -5,449975 0,2823974 -11,87031
2 19,67743 0 0 0 0 348 348 370 371 108 0 14 -6,726987 0,9105607 -13,01505
2 19,87492 0 0 0 0 348 347 371 370 113 0 13 -7,120659 1,278051 -13,89185
2 20,08469 0 0 0 0 347 347 371 371 117 0 12 -6,977322 1,18826 -13,10366
2 20,2906 0 0 0 0 347 347 369 371 121 0 10 -7,220944 0,01439434 -12,01976
2 20,44422 0 0 0 0 347 347 369 372 125 0 9 -6,296375 -0,9495785 -11,15661
2 20,6112 0 0 0 0 347 347 369 372 129 0 8 -5,140309 -2,361532 -11,04101
2 20,8177 0 0 0 0 347 347 372 371 134 0 6 -5,284506 -1,534421 -11,56498
2 20,97741 0 0 0 0 347 347 371 371 138 0 3 -4,273576 -1,671419 -11,17494
2 21,15786 0 0 0 0 347 347 371 372 142 0 1 -3,760312 -1,18347 -10,97032
2 21,3829 0 0 0 0 347 347 370 372 147 0 -1 -4,696854 0,6823936 -12,5669
2 21,57231 0 0 0 0 347 347 370 373 151 0 -4 -3,70127 0,9182425 -13,22266
2 21,78665 0 0 0 0 347 347 371 372 155 0 -8 -3,259217 1,056874 -13,29374
2 21,99441 0 0 0 0 347 347 373 372 159 0 -11 -2,857711 0,6333532 -12,61695
2 22,19359 0 0 0 0 347 347 373 372 163 0 -14 -1,942582 -0,05803989 -12,13945
2 22,37704 0 0 0 0 347 347 372 372 168 0 -17 -1,807737 -1,067229 -11,11809
2 22,54764 0 0 0 0 347 347 371 373 172 0 -19 -1,045091 -1,712699 -10,27399
2 22,71988 0 0 0 0 347 347 371 373 176 0 -21 -2,018631 -1,692677 -10,65559
2 22,90138 0 0 0 0 347 347 373 373 180 0 -22 -1,896761 -1,257581 -11,17087
2 23,11543 0 0 0 0 347 347 374 372 185 0 -23 -2,480757 -0,8560519 -11,97684
2 23,30317 0 0 0 0 347 347 373 372 189 0 -23 -2,145743 -0,2179684 -12,75872
2 23,52591 0 0 0 0 347 347 373 373 193 0 -22 -1,620696 0,3397455 -13,58818
2 23,78759 0 0 0 0 347 347 373 373 198 0 -22 -0,8974986 0,7932183 -14,45813
2 24,00978 0 0 0 0 347 347 374 373 202 0 -21 -0,2376996 0,9936149 -14,88006
2 24,2599 0 0 0 0 347 347 374 373 206 0 -20 0,50324 1,021211 -15,02354
2 24,53677 0 0 0 0 347 347 375 373 210 0 -19 1,227054 1,04173 -15,07231
2 24,7582 0 0 0 0 347 347 374 373 215 0 -19 2,133035 0,8445851 -14,6608
2 24,9942 0 0 0 0 347 347 373 373 219 0 -18 3,312603 0,5763757 -14,04183
2 25,24052 0 0 0 0 347 347 373 373 223 0 -17 4,677392 0,5437012 -13,31031
2 25,43404 0 0 0 0 347 347 374 374 227 0 -17 5,890165 0,5381075 -12,85574
2 25,64546 0 0 0 0 347 347 374 374 231 0 -17 6,793984 0,3118581 -12,71126
2 25,88134 0 0 0 0 347 347 373 373 236 0 -17 7,333618 0,04993953 -13,01355
2 26,07375 0 0 0 0 347 347 372 373 240 0 -17 8,630685 -0,3405924 -13,05216
2 26,2852 0 0 0 0 347 347 372 373 244 0 -17 8,67319 -0,4662791 -12,97762
2 26,52669 0 0 0 0 347 347 373 374 244 0 -16 8,317389 -0,294563 -13,55406
2 26,72433 0 0 0 0 347 347 373 373 247 0 -16 10,11914 0,08191578 -13,62021
2 26,93955 0 0 0 0 347 347 372 373 252 0 -15 12,09942 0,6701352 -13,42659
2 27,19431 0 0 0 0 347 347 371 373 255 0 -14 11,23977 1,182087 -14,63297
