5 47,67247 0 0 0 0 353 351 362 359 255 0 0 1,559003 0,006264657 -4,115081
5 47,73307 0 0 0 0 353 351 361 359 255 0 0 1,448448 0,02283107 -4,03152
5 47,8061 0 0 0 0 353 351 361 359 255 0 0 1,348098 0,1207884 -4,018459
5 47,87366 0 0 0 0 353 351 361 359 255 0 0 1,257411 0,1355273 -4,058705
5 47,93285 0 0 0 0 353 351 360 359 255 0 0 1,286471 0,1717759 -3,9362
5 48,00687 0 0 0 0 353 351 360 358 255 0 0 1,494377 0,2569796 -4,072447
5 48,07279 0 0 0 0 352 351 360 358 255 0 0 1,684181 0,2237385 -3,953512
5 48,13221 0 0 0 0 352 351 359 358 255 0 0 1,937754 0,1326832 -3,996908
5 48,20482 0 0 0 0 352 351 359 358 255 0 0 2,133466 0,07508409 -3,946169
5 48,26925 0 0 0 0 352 351 359 358 255 0 -1 2,390517 -0,06243494 -3,884439
5 48,3276 0 0 0 0 352 351 359 358 255 0 -1 2,611181 -0,09654187 -3,893415
5 48,39668 0 0 0 0 352 351 359 357 255 0 -2 2,938403 -0,1983405 -3,757203
5 48,45966 0 0 0 0 352 351 358 357 255 0 -3 3,29371 -0,1589386 -3,817012
5 48,51555 0 0 0 0 352 351 358 357 255 0 -3 3,669139 -0,1850451 -3,730551
5 48,58385 0 0 0 0 352 351 358 357 255 0 -4 4,090209 -0,169805 -3,798846
5 48,6467 0 0 0 0 352 351 358 357 255 0 -5 4,498286 -0,1726198 -3,832119
5 48,70932 0 0 0 0 352 351 358 357 255 0 -5 5,02941 -0,1898838 -3,841692
5 48,77259 0 0 0 0 352 351 358 357 255 0 -6 5,482145 -0,176183 -3,90246
5 48,83448 0 0 0 0 352 351 358 357 255 0 -6 6,02796 -0,1986698 -3,821916
5 48,88998 0 0 0 0 352 351 358 357 255 0 -7 6,280964 -0,1272081 -3,830078
5 48,95702 0 0 0 0 352 351 358 357 255 0 -7 6,478825 -0,03811683 -3,806945
5 49,01762 0 0 0 0 352 352 358 357 255 0 -7 6,751398 0,09150323 -3,836045
5 49,07218 0 0 0 0 352 352 358 357 255 0 -7 7,01713 0,1706647 -3,852444
5 49,13861 0 0 0 0 352 352 358 357 255 0 -7 7,239617 0,195933 -3,897205
5 49,19912 0 0 0 0 352 352 358 358 255 0 -6 7,417696 0,1666187 -3,912951
5 49,25288 0 0 0 0 352 352 358 358 255 0 -5 7,586287 0,2142198 -3,866723
5 49,3181 0 0 0 0 352 352 358 358 255 0 -5 7,732153 0,2610359 -3,880709
5 49,37649 0 0 0 0 352 352 358 358 255 0 -4 7,828053 0,3092093 -3,822616
5 49,42895 0 0 0 0 352 352 358 358 255 0 -3 7,935897 0,3450769 -3,836139
5 49,493 0 0 0 0 352 352 358 359 255 0 -3 7,982168 0,3864123 -3,866436
5 49,55152 0 0 0 0 352 352 358 359 255 0 -2 7,93332 0,3682394 -3,883802
5 49,60481 0 0 0 0 352 352 358 359 255 0 -1 7,84683 0,3022976 -3,906585
5 49,66406 0 0 0 0 352 352 358 359 255 0 -1 7,69827 0,2961121 -3,906246
5 49,72905 0 0 0 0 352 352 358 359 255 0 0 7,527426 0,309475 -3,868907
5 49,78177 0 0 0 0 351 352 358 359 255 0 0 7,439717 0,309245 -3,826513
5 49,84566 0 0 0 0 351 352 358 359 255 0 0 6,713408 0,2978134 -3,773743
5 49,90419 0 0 0 0 351 352 358 360 255 0 1 5,698193 0,3886096 -3,743914
5 49,96951 0 0 0 0 351 351 358 360 255 0 1 4,729537 0,4374981 -3,749224
5 50,02349 0 0 0 0 351 351 358 359 255 0 2 3,929705 0,4619427 -3,748131
5 50,08446 0 0 0 0 351 351 358 360 255 0 3 3,606044 0,2345199 -3,786852
5 50,13954 0 0 0 0 351 351 358 359 255 0 4 3,617185 0,1477888 -3,784468
5 50,20685 0 0 0 0 351 351 358 359 255 0 5 3,388367 0,08620151 -3,778894
5 50,26765 0 0 0 0 351 351 358 359 255 0 5 3,037284 0,1133842 -3,718854
5 50,32195 0 0 0 0 351 351 358 359 255 0 5 2,625456 0,2517295 -3,668533
5 50,38796 0 0 0 0 351 351 357 359 255 0 5 2,150242 0,2678449 -3,607345
5 50,44703 0 0 0 0 351 351 357 359 255 0 4 1,724664 0,3268022 -3,552419
5 50,49982 0 0 0 0 351 351 357 358 255 0 4 1,308752 0,2957951 -3,509442
5 50,56168 0 0 0 0 351 351 357 358 255 0 3 0,957944 0,1467881 -3,361415
5 50,61735 0 0 0 0 351 351 357 358 255 0 2 0,6726704 -0,09664 -3,372208
5 50,66646 0 0 0 0 351 351 357 358 255 0 2 0,4246513 -0,2416027 -3,259285
5 50,72245 0 0 0 0 351 351 356 358 255 0 1 0,2371086 -0,2925738 -3,403679
